iter	Passed	Remaining
0	3	3827
1	6	3344
2	9	3230
3	13	3398
4	18	3624
5	23	3818
6	27	3916
7	32	4074
8	37	4144
9	41	4155
10	46	4144
11	50	4140
12	54	4138
13	58	4132
14	62	4103
15	66	4075
16	103	5971
17	110	6033
18	117	6068
19	121	5974
20	126	5879
21	130	5812
22	135	5738
23	139	5664
24	143	5591
25	147	5520
26	151	5463
27	156	5421
28	160	5364
29	164	5317
30	168	5273
31	173	5236
32	176	5185
33	181	5146
34	185	5113
35	189	5072
36	193	5041
37	198	5020
38	202	4998
39	207	4974
40	211	4950
41	215	4924
42	220	4907
43	224	4887
44	228	4852
45	232	4825
46	237	4809
47	241	4788
48	246	4779
49	250	4761
50	254	4742
51	258	4714
52	263	4700
53	267	4692
54	272	4674
55	277	4677
56	282	4667
57	286	4653
58	291	4641
59	295	4636
60	300	4626
61	305	4620
62	309	4605
63	313	4590
64	319	4589
65	323	4572
66	327	4566
67	332	4553
68	336	4544
69	341	4532
70	345	4517
71	350	4511
72	354	4505
73	359	4492
74	363	4478
75	368	4475
76	372	4470
77	377	4456
78	381	4453
79	386	4447
80	391	4438
81	394	4420
82	399	4416
83	404	4411
84	408	4397
85	413	4389
86	418	4390
87	422	4375
88	426	4368
89	431	4363
90	436	4355
91	440	4346
92	444	4335
93	450	4338
94	454	4331
95	458	4322
96	463	4311
97	468	4312
98	473	4309
99	479	4311
100	483	4307
101	488	4297
102	492	4286
103	496	4279
104	500	4269
105	504	4256
106	508	4244
107	512	4236
108	518	4237
109	522	4228
110	526	4219
111	531	4215
112	535	4207
113	540	4198
114	544	4192
115	549	4187
116	553	4179
117	557	4170
118	562	4165
119	567	4163
120	571	4152
121	576	4146
122	580	4140
123	584	4130
124	588	4120
125	592	4111
126	597	4105
127	601	4096
128	605	4087
129	609	4078
130	613	4071
131	618	4064
132	622	4055
133	626	4047
134	630	4042
135	635	4034
136	639	4026
137	643	4021
138	647	4010
139	651	4002
140	655	3994
141	660	3989
142	664	3981
143	668	3975
144	672	3968
145	677	3963
146	681	3956
147	686	3951
148	690	3945
149	695	3941
150	699	3933
151	703	3924
152	707	3918
153	712	3911
154	717	3908
155	721	3901
156	725	3896
157	729	3889
158	734	3883
159	738	3874
160	741	3866
161	745	3858
162	749	3850
163	754	3844
164	758	3838
165	763	3834
166	767	3825
167	770	3817
168	776	3817
169	780	3812
170	785	3806
171	789	3800
172	793	3795
173	797	3787
174	801	3780
175	806	3776
176	811	3771
177	815	3764
178	819	3759
179	824	3754
180	828	3748
181	832	3742
182	837	3737
183	841	3732
184	846	3727
185	850	3721
186	854	3714
187	858	3709
188	863	3703
189	867	3698
190	871	3692
191	876	3687
192	880	3681
193	884	3676
194	889	3673
195	894	3668
196	898	3662
197	903	3657
198	907	3653
199	911	3647
200	915	3639
201	919	3633
202	924	3630
203	928	3624
204	933	3618
205	937	3613
206	942	3608
207	946	3602
208	950	3595
209	954	3590
210	959	3587
211	963	3580
212	967	3575
213	972	3571
214	976	3565
215	980	3557
216	984	3552
217	989	3548
218	993	3542
219	997	3537
220	1002	3533
221	1006	3528
222	1011	3523
223	1016	3520
224	1020	3516
225	1025	3511
226	1029	3505
227	1033	3499
228	1037	3494
229	1042	3491
230	1046	3484
231	1050	3478
232	1055	3472
233	1059	3467
234	1063	3461
235	1067	3455
236	1071	3450
237	1075	3444
238	1079	3438
239	1083	3431
240	1088	3427
241	1092	3422
242	1096	3416
243	1100	3411
244	1105	3407
245	1110	3402
246	1114	3397
247	1118	3392
248	1123	3388
249	1127	3382
250	1131	3376
251	1136	3372
252	1140	3367
253	1144	3362
254	1149	3357
255	1152	3350
256	1156	3344
